Условие отправки,Раздел,Название,Фраза,,,,,,,,,,,,,,,,,,,,,
"Первое приветственное сообщение, отправляем всем новым клиентом в зависимости от тега, с которым пришел клиент",ТЕСТ MAX,1. Приветствие (sweetgold),"Здравствуйте! Меня зовут София, я буду Вашим персональным менеджер‍ом

У нас вы можете создать толстовку с любым дизайном: надпись, эмблема, картинка. Мы готовы воплотить любую вашу идею
,ОП 3 Отработка и Дожим,Связь с дизайнером,"[Имя], Вы так и не ответили мне. Возможно, остались вопросы или сомнения? 

Давайте я попрошу дизайнера связаться с Вами - он расскажет о всех деталях: как мы работаем, а также сможет сориентировать по макету и дизайну. 

Добро? ❤",,,,,,,,,,,,,,,,,,,,,
,ОП 3 Отработка и Дожим,Связь с дизайнером 2,"Супер, тогда подскажите свой номер телефона, Александр (наш дизайнер) позвонит Вам ❤

Вам удобно сейчас или лучше в определенное время набрать?",,,,,,,,,,,,,,,,,,,,,
,ОП 3 Отработка и Дожим,Доверие-реквизиты,"[Имя], вижу Ваши сомнения и понимаю вас, сейчас действительно много мошенников, но мы работаем честно и официально 

Фактический адрес: г. Казань Проспект победы 39
✅ИП Хакимуллин Айдар Ильхамович
Реквизиты
✅ОГРНИП
318169000177309
✅ИНН
165716466071

Сайт ФНС где можно проверить ИНН https://egrul.nalog.ru/index.html

✅Ссылка на отзывы :
https://vk.com/reviews-81457851

✅ Ссылка на нашу группу ВК :
https://vk.com/rus_oversize

Наши реквизиты на оф. сайте Т-банка: https://www.tbank.ru/business/contractor/legal/318169000177309/

Ознакомитесь и продолжим работу?)",,,,,,,,,,,,,,,,,,,,,
,ОП 3 Отработка и Дожим,Отработка ПЕРЕВОД,"Если честно ,переводы на карту  у нас нежелательны.
Гораздо надёжнее — оплата через онлайн-кассу. 

Преимущества для вас:

✅Кэшбэк при оплате через T-Pay.

✅Официальный чек на каждую покупку

✅Максимальная простота: оплата по ссылке или QR-коду за пару минут.

Если все таки нету возможности оплатить так , то попробую согласовать с руководителем перевод для Вас❤",,,,,,,,,,,,,,,,,,,,,
,ОП 3 Отработка и Дожим,Альтернатива - Доли и Сплит,"[Имя], смотрите, возможно, те способы оплаты, которые я озвучила ранее, для Вас не совсем удобны  

Поэтому хочу рассказать ещё о двух сервисах: Яндекс Сплит и Доли от Т-банка✅

Коротко как они работают:

- Это не кредит и не рассрочка в классическом смысле, а именно оплата частями;
- Кредитная история большого значения не имеет, заявку почти всегда одобряют онлайн;
- Вы сами выбираете, на сколько частей разбить платёж;
- Никаких лишних звонков, всё через приложение или сайт.

Максимально просто и быстро  

Для Вас какой вариант удобнее?",,,,,,,,,,,,,,,,,,,,,
,ОП 3 Отработка и Дожим,Видео ТЕРМОПРИНТ КОНТУРЫ С ТРЕКОМ,[video77413228_456239071],,,,,,,,,,,,,,,,,,,,,
,ОП 3 Отработка и Дожим,Видео со склада (недоверие) МАХ,"❗ На связи мой руководитель:

Записал для вас видео со склада.

Наши реквизиты на оф. сайте Т-банка: https://www.tbank.ru/business/contractor/legal/318169000177309/

Лично проконтролирую Ваш заказ, мы Вас не подведем. Давайте оформим?

[video-https://store.wazzup24.com/a425386cd16f19eba8dbb5bf5d79fab4b590571c/?filename=-44440184_456240559.mp4]",,,,,,,,,,,,,,,,,,,,,
"Отправляем клиентам, когда нужно подробнее объяснить преимущества и отработать возражение",ПРЕИМУЩЕСТВА + отработка возражений,Универсальный ответ),"Мы работаем немного по другому принципу, чем обычные магазины или маркетплейсы. 

Мы не продаем готовые вещи со склада — каждое изделие изготавливается индивидуально после оформления заказа.

Благодаря этому Вы получаете:
• изделие с Вашим дизайном;
• подбор размера по Вашим параметрам;
• индивидуальное изготовление, а не массовый товар с полки.

Именно поэтому заказ запускается в производство только после подтверждения оплаты.

Создадим шедевр для Вас? ",,,,,,,,,,,,,,,,,,,,,
,ПРЕИМУЩЕСТВА + отработка возражений,"если говорят ""дорого""","Если сравнивать с вещью из магазина, действительно может показаться, что цена выше.

Но мы не продаем серийную одежду. Каждое изделие создается индивидуально: разрабатывается макет, подготавливается производство, подбирается размер и только после этого начинается пошив.

Вы оплачиваете не только само худи или футболку, а полностью индивидуальное изготовление именно под Ваш заказ. ❤️ 

Готовы к обсуждению?)",,,,,,,,,,,,,,,,,,,,,
,ПРЕИМУЩЕСТВА + отработка возражений,"если говорят ""на Wildberries/Озон дешевле""","На маркетплейсах продаются уже готовые изделия массового производства.

У нас же производство начинается только после оформления заказа. Мы не берем вещь с полки, а создаем её специально для Вас: с выбранным дизайном, цветом и параметрами.

Поэтому сравнивать такие изделия напрямую не совсем корректно — это разные форматы производства.",,,,,,,,,,,,,,,,,,,,,
,ПРЕИМУЩЕСТВА + отработка возражений,почему нужна предоплата,"Поскольку мы изготавливаем изделие индивидуально, мы не можем после отказа продать его другому человеку.

Поэтому производство начинается только после подтверждения заказа второй частью оплаты.

Это позволяет сразу закупать материалы, готовить принты и запускать пошив именно Вашего изделия.",,,,,,,,,,,,,,,,,,,,,
,ПРЕИМУЩЕСТВА + отработка возражений,что получается клиент,"Мы не маркетплейс и не магазин готовой одежды.

Каждое изделие проходит несколько этапов специально для одного клиента:

✔ подготовка индивидуального макета;
✔ подбор размера по параметрам;
✔ изготовление принта или вышивки;
✔ индивидуальный пошив;
✔ контроль качества перед отправкой.

Именно поэтому Вы получаете уникальное изделие, которого не встретите на полке обычного магазина. ❤️",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
